"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2025","145.48","144.01","145.65","143.12","161.49M","0.94%"
"06/17/2025","144.12","144.49","145.22","143.78","139.11M","-0.39%"
"06/16/2025","144.69","143.35","146.18","143.20","183.13M","1.92%"
"06/13/2025","141.97","142.48","143.58","140.85","180.82M","-2.09%"
"06/12/2025","145.00","141.97","145.00","141.85","162.36M","1.52%"
"06/11/2025","142.83","144.61","144.99","141.87","167.69M","-0.78%"
"06/10/2025","143.96","142.69","144.29","141.52","155.88M","0.93%"
"06/09/2025","142.63","143.19","145.00","141.94","185.11M","0.64%"
"06/06/2025","141.72","142.51","143.27","141.51","153.99M","1.24%"
"06/05/2025","139.99","142.17","144.00","138.83","232.41M","-1.36%"
"06/04/2025","141.92","142.19","142.39","139.54","167.12M","0.50%"
"06/03/2025","141.22","138.78","142.00","137.95","225.58M","2.80%"
"06/02/2025","137.38","135.49","138.12","135.40","197.66M","1.67%"
"05/30/2025","135.13","138.71","139.62","132.92","333.17M","-2.92%"
"05/29/2025","139.19","142.24","143.49","137.91","370.62M","3.25%"
"05/28/2025","134.81","136.02","137.25","134.79","304.02M","-0.51%"
"05/27/2025","135.50","134.15","135.66","133.31","192.95M","3.21%"
"05/23/2025","131.29","130.00","132.68","129.16","198.82M","-1.16%"
"05/22/2025","132.83","132.23","134.25","131.55","187.34M","0.78%"
"05/21/2025","131.80","133.06","137.40","130.59","270.61M","-1.92%"
"05/20/2025","134.38","134.29","134.58","132.62","161.51M","-0.88%"
"05/19/2025","135.57","132.39","135.87","132.39","193.15M","0.13%"
"05/16/2025","135.40","136.22","136.35","133.46","226.54M","0.42%"
"05/15/2025","134.83","134.29","136.30","132.66","226.63M","-0.38%"
"05/14/2025","135.34","133.20","135.43","131.68","281.18M","4.16%"
"05/13/2025","129.93","124.98","131.22","124.47","330.43M","5.63%"
"05/12/2025","123.00","121.97","123.00","120.28","225.02M","5.44%"
"05/09/2025","116.65","117.35","118.23","115.21","132.97M","-0.61%"
